id	y.repeated	y.trend	time	sex
356	2.2	4.81	3	1
178	3.02	9.95	3	1
283	2.76	4.35	4	0
51	0.87	0.42	2	0
295	0.94	7.41	4	0
46	0.35	5.95	5	1
199	1.02	7.16	1	0
150	0.96	11.25	2	1
43	1.55	5.11	1	0
388	1.97	7.56	3	1
363	2.12	30.13	5	0
82	1.83	9.38	5	1
376	1.97	4.26	3	1
283	1.47	3.12	2	0
84	2.62	4.18	4	1
74	1.07	0.54	1	1
232	3.01	-0.43	1	1
225	1.28	-3.22	3	0
127	0.45	-1.04	5	0
204	2.15	1.45	1	1
315	0.94	1.9	5	0
279	-0.34	14.39	5	0
253	0.3	-1.23	5	0
300	1.52	6.78	4	1
392	0.59	14.56	5	1
43	1.96	7.56	3	0
295	2.06	0.79	1	0
50	3.53	5.38	3	1
263	0.07	-2.84	3	0
261	1.34	-1.64	4	0
292	1.3	8.7	4	1
197	1.11	3.95	5	0
178	3.65	6.44	2	1
294	1.95	3.72	3	1
384	1.17	1	1	1
326	0.51	1.31	4	1
361	0.92	2.73	3	0
267	1.45	6.55	3	0
340	1.37	4.7	1	1
178	1.03	17.05	5	1
320	2.05	1.06	5	1
339	-0.49	11.43	5	0
67	1.4	-6.13	1	0
287	1.06	3.09	1	0
159	0.01	1.32	4	0
216	2.97	4.66	1	1
45	2.06	4.66	1	0
28	2.45	2.02	1	1
207	1.29	-1.22	2	0
399	0.8	10.32	3	0
216	3.34	12.02	5	1
61	2.23	3.36	2	0
93	-0.13	6.79	5	0
86	0.13	5.16	5	1
158	1.21	1.85	1	1
46	0.36	1.92	1	1
136	2.12	5.58	1	1
325	1.09	-0.04	3	0
216	1.94	6.92	3	1
79	1.6	0.11	4	0
331	-0.32	2.43	1	0
143	0.02	2.63	1	0
75	1.84	11.8	4	0
30	0.84	4.28	1	1
315	0.86	4.31	1	0
388	0.96	11.96	5	1
104	3.01	5.4	1	1
125	1.56	3.72	1	0
245	1.54	4.87	2	0
260	2.37	6.2	1	1
214	2.78	3.51	1	1
168	2.49	3.75	2	1
61	1.12	8.39	5	0
201	-0.85	6.26	4	0
311	-0.74	0.41	2	0
155	1.97	4.34	1	0
133	1.09	15.1	3	0
338	2.84	1.23	1	1
162	2.24	11.34	5	1
127	1.48	-1.08	1	0
260	2.81	13.69	5	1
326	2.13	-1.61	5	1
119	1.79	6.35	3	0
382	1.46	4.08	1	1
9	0.59	10.65	4	0
185	2.2	-1.68	5	0
132	2.19	7.54	5	1
270	1.59	13.93	3	1
24	-0.38	5.36	3	1
258	0.61	6.1	5	1
284	2.1	0.44	1	1
287	0.49	3.18	2	0
3	0.99	-5.87	5	0
276	2.87	8.52	4	1
122	0.59	6.25	1	1
373	0.48	4.39	5	0
368	0.64	7.09	2	1
153	3.32	3.4	2	0
254	1.46	0.24	2	1
173	1.31	7.01	5	0
172	1.08	1.38	2	1
130	1.91	25.33	5	1
6	2	3.21	1	1
165	0.04	2.31	2	0
129	0.97	10.1	2	0
181	1.57	-1.3	1	0
100	1.97	-6.27	5	1
287	0.52	1.81	3	0
205	1.27	3.6	2	0
217	0.72	-4.26	5	0
107	1.75	6.26	2	0
33	3.03	9.68	5	0
78	2.53	5.6	2	1
34	1.44	1.72	1	1
360	0.18	0.82	1	1
32	0.97	4.49	1	1
252	2.8	7.39	3	1
274	0.9	11.56	3	1
162	2.12	10.3	4	1
7	-0.14	19.16	5	0
142	1.95	3.45	5	1
22	3.22	0.21	3	1
111	1	6.72	1	0
123	-0.03	5.66	2	0
27	1.91	-1.85	4	0
301	2.27	10.63	5	0
23	2.15	0.07	3	0
222	1.1	-11.3	5	1
347	-1.09	6.12	3	0
234	2.68	-5.92	3	1
283	2.34	2.75	1	0
391	0.32	0.38	2	0
168	2.79	4.4	3	1
348	1.91	5.57	3	1
384	1.21	6.78	5	1
290	0.12	-3.32	2	1
190	1.96	8.93	4	1
355	0.17	4.86	1	0
321	-0.3	1.7	1	0
107	2.67	0.02	1	0
399	-0.3	15.84	5	0
210	2.73	5.92	2	1
285	0.41	11.86	5	0
188	1.86	0.14	4	1
366	1.27	8.37	3	1
202	1.7	3.06	5	1
6	1.12	7.6	5	1
73	2.25	7.74	3	0
242	2.04	-0.72	4	1
213	-0.1	9.3	4	0
380	1.82	-2.03	4	1
204	2.59	8.01	4	1
162	3.2	3.05	1	1
63	1.99	-3.52	4	0
399	0.74	7.92	2	0
124	0.53	5.85	3	1
71	0.35	-2.22	3	0
154	0.84	9.08	3	1
208	1.77	10.25	4	1
13	0.69	6.07	4	0
398	2.16	6.15	2	1
367	2.04	0.42	2	0
371	0.93	8.97	2	0
270	1.91	6.91	1	1
151	1.95	2.54	5	0
44	0.43	1.28	2	1
382	2	4.1	4	1
386	0.07	7.32	4	1
73	1.47	5.55	1	0
198	3.74	5.22	2	1
241	1.44	3.18	2	0
342	1.68	5.43	2	1
294	1.58	1.26	1	1
125	2.21	13.05	5	0
224	2.08	15.52	5	1
386	0.91	10.09	5	1
167	0.39	-0.63	2	0
68	2.48	11.23	2	1
394	0.97	-1.43	4	1
62	2.7	2.74	5	1
180	1.98	10.26	3	1
288	3.36	3.23	3	1
188	3.18	0.45	3	1
320	2.95	0.24	3	1
53	0.67	5.53	4	0
238	1.05	1.94	4	1
5	-0.39	2.19	3	0
102	2.4	-3.16	3	1
246	4.16	-1.92	4	1
244	0.86	3.2	5	1
90	2.18	5.53	4	1
324	1.68	8.47	3	1
84	1.71	4.11	1	1
262	2.17	2.04	2	1
277	1.59	21.8	5	0
217	0.26	-1.35	2	0
142	0.67	3.87	2	1
370	1.72	19.85	5	1
303	1.13	0.93	5	0
177	1.22	8.89	4	0
342	0.32	9.09	4	1
145	0.23	14.96	3	0
75	0.99	15.89	5	0
317	0.03	15.32	4	0
262	1.31	1.77	5	1
89	0.6	-0.36	1	0
67	0.45	-11.44	4	0
105	2.15	2.73	1	0
217	1.82	-0.35	1	0
397	-0.22	4.98	2	0
117	2.58	4.81	2	0
353	2.01	7.03	2	0
304	0.72	4.15	3	1
308	1.21	6.26	4	1
360	-0.6	2.91	2	1
209	2.16	-2.51	2	0
43	1	3.34	2	0
123	0.22	3.3	1	0
186	1.75	5.47	1	1
246	2.35	-4.64	3	1
273	1.25	3.55	2	0
322	1.42	8.79	1	1
127	0.5	3.79	3	0
259	0.96	4.4	4	0
194	1.54	4.5	5	1
129	2.13	5.59	1	0
339	0.59	6.26	1	0
39	1.2	4.91	1	0
341	-0.77	12.05	5	0
350	1.83	4.67	2	1
192	0.91	-3.91	5	1
11	0.89	4.45	2	0
118	2.55	5.18	2	1
121	2.61	9.14	5	0
390	1.16	2.25	3	1
313	1.41	1.71	1	0
31	0.25	-0.64	2	0
238	0.66	4.54	5	1
366	-0.47	12	5	1
296	1.61	-2.32	3	1
47	2.13	0.07	3	0
154	1.72	10.74	4	1
104	1.09	11.08	3	1
157	0.43	-0.58	2	0
249	0.96	-0.57	4	0
30	0.39	10.85	5	1
316	0.71	5.89	2	1
272	2.39	1.77	1	1
78	1.55	1.83	1	1
251	2.83	-2.57	5	0
48	1.81	3.38	2	1
362	1.5	4.14	3	1
62	3.32	4.03	2	1
241	0.79	3.02	1	0
307	1.72	3.11	1	0
33	0.8	5.65	3	0
293	0.69	-5.2	3	0
13	2.28	7.72	5	0
314	1.92	-5.67	5	1
49	2.12	-2.16	2	0
169	0.71	10.71	4	0
184	1	0.24	5	1
363	0.87	12.59	2	0
289	1.75	4.88	4	0
3	1.11	-4.3	4	0
184	0.62	2.92	2	1
5	0.78	6.14	5	0
357	-0.07	7.53	2	0
256	0.85	0.42	2	1
196	4.83	6.87	4	1
92	2.8	3.5	4	1
183	1.89	-0.88	3	0
32	1.11	8.54	4	1
393	0.95	9.51	5	0
379	0.97	3.6	2	0
9	-0.25	9.03	5	0
101	1.52	3.7	3	0
169	-0.31	7.7	2	0
80	0.17	11.98	4	1
163	0.11	7.85	4	0
42	1.42	13.12	3	1
65	-0.35	19.42	4	0
231	0.95	2.76	2	0
174	2.61	6.14	2	1
75	2.53	6.56	2	0
106	0.09	1.33	5	1
254	1.38	-0.4	3	1
272	1.24	0.04	2	1
19	1.43	-5.46	3	0
385	2.06	-6.31	5	0
208	1.5	8.25	2	1
334	0.4	4.63	2	1
174	1.23	9.28	3	1
273	1.26	5.62	3	0
375	1.6	5.49	1	0
243	2.14	15.02	4	0
286	1.91	8.85	5	1
97	0.14	6.69	4	0
358	0.17	9.99	4	1
89	0.98	-0.07	2	0
179	1.47	5.38	5	0
71	1.96	-7.48	5	0
260	2.21	10.69	3	1
19	0.99	-10.81	5	0
270	1.54	24.52	5	1
106	-0.23	3.32	2	1
293	-0.79	-3.62	2	0
85	1.81	5.04	1	0
303	0.81	1.24	3	0
377	0.83	7.07	1	0
265	1.8	1.69	1	0
18	0.73	5.69	4	1
23	2.3	2.99	4	0
46	1.88	3.02	2	1
190	1.24	4.55	3	1
125	-0.03	10.83	4	0
233	0.95	-6.12	2	0
90	2.87	5.79	5	1
205	1.25	0.86	3	0
179	1.97	-0.13	1	0
91	3.41	-4.34	3	0
30	0.26	8.7	4	1
337	-0.1	2.46	1	0
107	2.36	4.18	3	0
137	0.67	-1.92	1	0
216	1.81	8.29	2	1
108	2.99	5.28	3	1
347	0.44	2.57	2	0
264	1.84	6	1	1
135	0.89	-0.6	5	0
12	1.57	1.2	3	1
345	0.13	3.75	5	0
83	1.08	-1.74	1	0
344	3.08	9.18	5	1
228	2.33	7.02	5	1
72	2.57	-14.01	4	1
211	3.64	-0.68	3	0
28	2.41	3.39	4	1
217	1	-3.69	4	0
56	1.42	8.86	5	1
142	1.68	3.46	3	1
113	1.67	-1.1	1	0
266	1.76	1	1	1
368	1.32	19.53	5	1
162	2.39	2.83	2	1
3	2.04	-3.12	3	0
228	3.53	4.59	4	1
380	2.58	-2.8	3	1
354	1.01	5.39	3	1
147	2.06	11.99	5	0
95	1.83	8.18	4	0
167	0.46	-1.73	3	0
186	1.31	2.56	4	1
352	2.17	4.19	1	1
266	0.31	1.74	3	1
25	1.66	6.01	3	0
225	1.95	-1.28	4	0
93	1.49	1.7	1	0
153	1.44	6.26	5	0
301	0.84	1.67	1	0
214	0.81	0.61	3	1
366	1.02	2.43	1	1
202	-0.49	0.6	2	1
107	1.77	5.81	5	0
149	1.83	9	3	0
235	1.02	-2.97	4	0
398	2.25	9.69	5	1
306	1.06	1.71	1	1
331	0.44	4.82	3	0
298	0.88	3.94	1	1
32	0.55	6.78	2	1
126	1.38	19.14	5	1
192	0.44	-3.7	2	1
185	0.27	-2.95	2	0
278	1.31	4.78	1	1
40	2.82	2.32	3	1
354	1.62	4.43	2	1
141	2.06	15.84	5	0
101	1.25	5.31	2	0
102	2.84	-1.16	2	1
73	1.41	8.82	4	0
94	2.46	1.58	2	1
104	1.4	9.35	2	1
305	2.21	-1.01	2	0
31	1.04	0.11	4	0
29	-0.34	1.65	3	0
34	0.17	1.62	4	1
396	2.27	4.06	3	1
135	0.74	2.06	2	0
135	0.85	0.28	3	0
287	1.35	2.37	4	0
283	0.49	6.73	5	0
379	1.25	2.24	5	0
276	2.34	2.5	1	1
13	0.43	4.84	2	0
361	0.22	2.42	2	0
305	0.15	-2.04	5	0
98	2.82	-0.06	3	1
258	1.18	0.98	1	1
182	0.05	3.88	1	1
391	0.38	2.44	5	0
361	1.31	2.37	1	0
297	1.59	0.89	1	0
97	0.96	1.24	2	0
240	2.64	11.06	4	1
15	0.36	11.33	3	0
31	0.24	2.11	1	0
20	-0.29	4.81	1	1
212	2.63	4.03	1	1
247	1.57	5.44	4	0
27	2.01	0.67	5	0
195	0.05	-3.5	3	0
322	-0.1	22.09	5	1
353	1.17	7.2	3	0
245	2.28	10.52	4	0
285	-0.36	7.65	3	0
24	-0.54	1.97	5	1
361	1.48	10.37	5	0
64	1.18	21.91	5	1
9	1.18	3.64	1	0
2	2.55	13.98	4	1
112	2.08	7.31	5	1
85	1.06	8.7	3	0
133	-0.82	21.91	5	0
111	1.94	18.07	4	0
56	1.16	4.67	1	1
255	0.69	5.26	3	0
35	0.44	0.83	4	0
391	0.44	0.63	3	0
278	0.44	13.55	5	1
108	2.81	2.41	1	1
300	1.13	7.45	5	1
381	1.59	7.37	5	0
88	0.16	4.59	1	1
21	-0.12	2.51	1	0
288	3.4	4.99	5	1
226	1.64	2.72	2	1
124	-0.62	5.38	4	1
244	1.18	4.78	4	1
356	3.03	5.13	2	1
256	1.26	4.84	1	1
182	0.81	5.97	2	1
172	3.2	0.68	3	1
210	2.78	10.15	4	1
244	1.77	5.64	3	1
230	2.1	10.19	4	1
245	0.72	11.61	5	0
99	2.19	13.71	5	0
203	0.02	3.78	2	0
263	0.38	-8.48	5	0
16	2.92	7.39	2	1
265	1.59	5.76	3	0
6	0.86	5.31	2	1
256	2.57	2.65	3	1
384	1.6	5.4	2	1
165	-0.23	-1.3	4	0
195	0.15	-2.52	4	0
210	2.22	6.09	1	1
330	1.88	2.11	1	1
364	1.05	3.95	2	1
295	0.14	5.48	2	0
356	2.13	7.81	4	1
30	1.82	6.18	3	1
314	2.77	4.37	1	1
7	1.48	20.74	4	0
149	2.25	2.44	1	0
227	0.34	6.32	2	0
354	1.92	12.26	5	1
32	0.74	7.63	5	1
338	0.7	4.62	2	1
103	0.32	-0.33	1	0
341	-1.59	4.56	2	0
368	1.01	11.28	3	1
99	2.62	7.56	2	0
8	0.44	5.61	5	1
317	1.14	9.94	2	0
209	1.55	-0.1	1	0
95	0.71	5.12	1	0
16	2.16	7.71	1	1
394	1.52	-1.07	3	1
144	1.54	6.78	2	1
61	1.37	6.88	3	0
336	0.61	-2.47	3	1
